unitid,instnm,domain,source,status
100654,Alabama A & M University,aamu.edu,wikipedia,ok
100663,University of Alabama at Birmingham,,,cached
100690,Amridge University,amridgeuniversity.edu,placeholder,ok
100706,University of Alabama in Huntsville,,,cached
100724,Alabama State University,,,cached
100733,University of Alabama System Office,,,cached
100751,The University of Alabama,,,cached
100760,Central Alabama Community College,,,cached
100812,Athens State University,,,cached
100830,Auburn University at Montgomery,,,cached
100858,Auburn University,,,cached
100937,Birmingham-Southern College,,,cached
101028,Chattahoochee Valley Community College,,,cached
101116,South University-Montgomery,southuniversity.edu,wikipedia,ok
101143,Enterprise State Community College,,,cached
101161,Coastal Alabama Community College,,,cached
101189,Faulkner University,,,cached
101240,Gadsden State Community College,,,cached
101277,New Beginning College of Cosmetology,,,cached
101286,George C Wallace Community College-Dothan,,,cached
101295,George C Wallace State Community College-Hanceville,,,cached
101301,George C Wallace State Community College-Selma,,,cached
101365,Herzing University-Birmingham,,,cached
101435,Huntingdon College,,,cached
101453,Heritage Christian University,hcu.edu,wikipedia,ok
101462,J. F. Drake State Community and Technical College,,,cached
101471,J F Ingram State Technical College,,,cached
101480,Jacksonville State University,,,cached
101505,Jefferson State Community College,,,cached
101514,John C Calhoun State Community College,,,cached
101569,Lawson State Community College,,,cached
101587,University of West Alabama,,,cached
101602,Lurleen B Wallace Community College,,,cached
101648,Marion Military Institute,,,cached
101675,Miles College,,,cached
101693,University of Mobile,,,cached
101709,University of Montevallo,,,cached
101736,Northwest Shoals Community College,,,cached
101879,University of North Alabama,,,cached
101897,Northeast Alabama Community College,,,cached
101912,Oakwood University,,,cached
101994,Reid State Technical College,,,cached
102030,Bishop State Community College,bishop.edu,wikipedia,ok
102049,Samford University,,,cached
102058,Selma University,,,cached
102067,Shelton State Community College,sheltonstate.edu,placeholder,ok
102076,Snead State Community College,,,cached
102094,University of South Alabama,southalabama.edu,wikipedia,ok
102234,Spring Hill College,,,cached
102270,Stillman College,,,cached
102298,Talladega College,talladega.edu,google,ok
102313,H Councill Trenholm State Community College,trenholmstate.edu,google,ok
102368,Troy University,troy.edu,google,ok
102377,Tuskegee University,tuskegee.edu,google,ok
102395,United States Sports University,ussa.edu,google,ok
102429,Bevill State Community College,bscc.edu,google,ok
102553,University of Alaska Anchorage,uaa.alaska.edu,google,ok
102580,Alaska Bible College,akbible.edu,google,ok
102614,University of Alaska Fairbanks,uaf.edu,google,ok
102632,University of Alaska Southeast,uas.alaska.edu,google,ok
102669,Alaska Pacific University,alaskapacific.edu,google,ok
102711,Alaska Vocational Technical Center,avtec.edu,placeholder,ok
102845,Charter College,chartercollege.edu,placeholder,ok
103501,Alaska Career College,alaskacareercollege.edu,google,ok
103529,University of Alaska System of Higher Education,alaska.edu,google,ok
103741,Empire Beauty School-Tucson,empire.edu,placeholder,ok
103893,Carrington College-Phoenix North,carrington.edu,google,ok
